size,t1,t2,t4
2048,1.017,0.996,1.284
4096,1.013,1.723,1.779
8192,0.998,3.233,1.931
16384,3.613,4.123,4.195
32768,8.81,6.555,5.909
65536,19.015,12.973,10.512
131072,40.831,31.687,20.987
262144,84.589,49.925,39.89
524288,177.228,114.661,80.111
1048576,357.782,216.797,168.828
2097152,788.646,491.097,375.772
4194304,1567.52,978.008,771.805
8388608,2810.377,1928.587,1271.963
16777216,5280.625,3331.96,2542.021
