size,t1,t2,t4,t8
8192,1.662,2.328,2.328,4.987
16384,2.327,2.659,2.66,4.986
32768,4.987,3.989,4.986,5.485
65536,10.306,8.311,6.316,7.314
131072,21.942,13.631,11.968,10.971
262144,45.545,28.258,20.279,20.281
524288,93.417,53.856,41.223,34.907
1048576,192.653,107.38,81.771,68.151
2097152,389.957,224.067,141.954,127.659
4194304,800.858,460.108,363.038,249.001
8388608,1644.602,926.363,670.216,527.589
16777216,3386.459,2204.827,1519.949,1097.452
